Date,Name,Restaurant,STUDENT,INT,EXT
2023-01-02,WOK STREET,4,13.20,14.20,16.50
2023-01-02,WOK GREEN,4,12.90,13.90,15.90
2023-01-02,DE�LIGHT,4,9.20,12.20,14.50
2023-01-02,GARDEN,4,8.90,11.90,13.90
2023-01-02,ADD ONS,4,1.50,1.50,2.00
2023-01-03,WOK STREET,4,13.20,14.20,16.50
2023-01-03,WOK GREEN,4,12.90,13.90,15.90
2023-01-03,DE�LIGHT,4,9.20,12.20,14.50
2023-01-03,GARDEN,4,8.90,11.90,13.90
2023-01-03,ADD ONS,4,1.50,1.50,2.00
2023-01-04,WOK STREET,4,13.20,14.20,16.50
2023-01-04,WOK GREEN,4,12.90,13.90,15.90
2023-01-04,DE�LIGHT,4,9.20,12.20,14.50
2023-01-04,GARDEN,4,8.90,11.90,13.90
2023-01-04,ADD ONS,4,1.50,1.50,2.00
2023-01-05,WOK STREET,4,13.20,14.20,16.50
2023-01-05,WOK GREEN,4,12.90,13.90,15.90
2023-01-05,DE�LIGHT,4,9.20,12.20,14.50
2023-01-05,GARDEN,4,8.90,11.90,13.90
2023-01-05,ADD ONS,4,1.50,1.50,2.00
2023-01-06,WOK STREET,4,13.20,14.20,16.50
2023-01-06,WOK GREEN,4,12.90,13.90,15.90
2023-01-06,DE�LIGHT,4,9.20,12.20,14.50
2023-01-06,GARDEN,4,8.90,11.90,13.90
2023-01-06,ADD ONS,4,1.50,1.50,2.00
2023-01-09,WOK STREET,4,13.20,14.20,16.50
2023-01-09,WOK GREEN,4,12.90,13.90,15.90
2023-01-09,DE�LIGHT,4,9.20,12.20,14.50
2023-01-09,GARDEN,4,8.90,11.90,13.90
2023-01-09,ADD ONS,4,1.50,1.50,2.00
2023-01-10,WOK STREET,4,13.20,14.20,16.50
2023-01-10,WOK GREEN,4,12.90,13.90,15.90
2023-01-10,DE�LIGHT,4,9.20,12.20,14.50
2023-01-10,GARDEN,4,8.90,11.90,13.90
2023-01-10,ADD ONS,4,1.50,1.50,2.00
2023-01-11,WOK STREET,4,13.20,14.20,16.50
2023-01-11,WOK GREEN,4,12.90,13.90,15.90
2023-01-11,DE�LIGHT,4,9.20,12.20,14.50
2023-01-11,GARDEN,4,8.90,11.90,13.90
2023-01-11,ADD ONS,4,1.50,1.50,2.00
2023-01-12,WOK STREET,4,13.20,14.20,16.50
2023-01-12,WOK GREEN,4,12.90,13.90,15.90
2023-01-12,DE�LIGHT,4,9.20,12.20,14.50
2023-01-12,GARDEN,4,8.90,11.90,13.90
2023-01-12,ADD ONS,4,1.50,1.50,2.00
2023-01-13,WOK STREET,4,13.20,14.20,16.50
2023-01-13,WOK GREEN,4,12.90,13.90,15.90
2023-01-13,DE�LIGHT,4,9.20,12.20,14.50
2023-01-13,GARDEN,4,8.90,11.90,13.90
2023-01-13,ADD ONS,4,1.50,1.50,2.00
2023-01-16,WOK STREET,4,13.20,14.20,16.50
2023-01-16,WOK GREEN,4,12.90,13.90,15.90
2023-01-16,DE�LIGHT,4,9.20,12.20,14.50
2023-01-16,GARDEN,4,8.90,11.90,13.90
2023-01-16,ADD ONS,4,1.50,1.50,2.00
2023-01-17,WOK STREET,4,13.20,14.20,16.50
2023-01-17,WOK GREEN,4,12.90,13.90,15.90
2023-01-17,DE�LIGHT,4,9.20,12.20,14.50
2023-01-17,GARDEN,4,8.90,11.90,13.90
2023-01-17,ADD ONS,4,1.50,1.50,2.00
2023-01-18,WOK STREET,4,13.20,14.20,16.50
2023-01-18,WOK GREEN,4,12.90,13.90,15.90
2023-01-18,DE�LIGHT,4,9.20,12.20,14.50
2023-01-18,GARDEN,4,8.90,11.90,13.90
2023-01-18,ADD ONS,4,1.50,1.50,2.00
2023-01-19,WOK STREET,4,13.20,14.20,16.50
2023-01-19,WOK GREEN,4,12.90,13.90,15.90
2023-01-19,DE�LIGHT,4,9.20,12.20,14.50
2023-01-19,GARDEN,4,8.90,11.90,13.90
2023-01-19,ADD ONS,4,1.50,1.50,2.00
2023-01-20,WOK STREET,4,13.20,14.20,16.50
