Date,Name,Restaurant,STUDENT,INT,EXT
20230102,Currymeet,22,9.90,11.90,15.50
20230102,Curryvegie,22,7.90,9.90,13.50
20230102,GreenGrabgowithmixedWrap,22,8.30,9.30,10.90
20230102,TakeAwaysalad,22,9.50,10.50,11.50
20230102,Gyros,22,8.90,9.90,11.50
20230102,HotSandwichup650,22,7.90,8.90,10.50
20230102,SuppemitBrot,22,7.50,8.50,9.50
20230103,Currymeet,22,7.50,10.90,15.50
20230103,Curryvegie,22,6.50,9.90,14.50
20230103,GreenGrabgowithmixedWrap,22,8.30,9.30,10.90
20230103,TakeAwaysalad,22,9.50,10.50,11.50
20230103,Gyros,22,8.90,9.90,11.50
20230103,HotSandwichup650,22,7.90,8.90,10.50
20230103,SuppemitBrot,22,7.50,8.50,9.50
20230104,Currymeet,22,7.50,10.90,15.50
20230104,Curryvegie,22,6.50,9.90,14.50
20230104,GreenGrabgowithmixedWrap,22,8.30,9.30,10.90
20230104,TakeAwaysalad,22,9.50,10.50,11.50
20230104,Gyros,22,8.90,9.90,11.50
20230104,HotSandwichup650,22,7.90,8.90,10.50
20230104,SuppemitBrot,22,7.50,8.50,9.50
20230105,Currymeet,22,7.50,10.90,15.50
20230105,Curryvegie,22,6.50,9.90,14.50
20230105,GreenGrabgowithmixedWrap,22,8.30,9.30,10.90
20230105,TakeAwaysalad,22,9.50,10.50,11.50
20230105,Gyros,22,8.90,9.90,11.50
20230105,HotSandwichup650,22,7.90,8.90,10.50
20230105,SuppemitBrot,22,7.50,8.50,9.50
20230106,Currymeet,22,7.50,10.90,15.50
20230106,Curryvegie,22,6.50,9.90,14.50
20230106,GreenGrabgowithmixedWrap,22,8.30,9.30,10.90
20230106,TakeAwaysalad,22,9.50,10.50,11.50
20230106,Gyros,22,8.90,9.90,11.50
20230106,HotSandwichup650,22,7.90,8.90,10.50
20230106,SuppemitBrot,22,7.50,8.50,9.50
20230109,Currymeet,22,9.90,11.90,15.50
20230109,Curryvegie,22,7.90,9.90,13.50
20230109,GreenGrabgowithmixedWrap,22,8.30,9.30,10.90
20230109,TakeAwaysalad,22,9.50,10.50,11.50
20230109,Gyros,22,8.90,9.90,11.50
20230109,HotSandwichup650,22,6.90,7.90,9.50
20230109,SuppemitBrot,22,7.50,8.50,9.50
20230110,Currymeet,22,9.90,11.90,15.50
20230110,Curryvegie,22,7.90,9.90,13.50
20230110,GreenGrabgowithmixedWrap,22,8.30,9.30,10.90
20230110,TakeAwaysalad,22,9.50,10.50,11.50
20230110,Gyros,22,8.90,9.90,11.50
20230110,HotSandwichup650,22,6.90,7.90,9.50
20230110,SuppemitBrot,22,7.50,8.50,9.50
20230111,Currymeet,22,9.90,11.90,15.50
20230111,Curryvegie,22,7.90,9.90,13.50
20230111,GreenGrabgowithmixedWrap,22,8.30,9.30,10.90
20230111,TakeAwaysalad,22,9.50,10.50,11.50
20230111,Gyros,22,8.90,9.90,11.50
20230111,HotSandwichup650,22,6.90,7.90,9.50
20230111,SuppemitBrot,22,7.50,8.50,9.50
20230112,Currymeet,22,9.90,11.90,15.50
20230112,Curryvegie,22,7.90,9.90,13.50
20230112,GreenGrabgowithmixedWrap,22,8.30,9.30,10.90
20230112,TakeAwaysalad,22,9.50,10.50,11.50
