"Menu","Resto","Nutri score","Eco score","Vegetarien spcécifé","Origine","Prix etudiant","Prix doctorant","Prix visiteur","Prix campus","Prix /100g","Prix etudiant /100g","Prix unique","Prix demi portion","Prix (non traité)","date"
"Arrancini tomato mozarella
sauce
 Vegetables with spices","Alpine","b+","c","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","1/3/2022"
"Chef Noï's Pad Thaï
Sautéed vegetables
cébette","Alpine","a","c","","","10.5","11","12.5","11.5","","","","","D 11.00 CHFE 10.50 CHFC 11.50 CHFV 12.50 CHF","1/3/2022"
"Swiss Veal Sausage with onion sauce
Cornettes with butter
Broccoli","Alpine","d+","e","","","11.5","12","13.5","12.5","","","","","E 11.50 CHFD 12.00 CHFC 12.50 CHFV 13.50 CHF","1/3/2022"
"Cappelletti with raw ham, lemon cream and seasonal vegetables","Arcadie","a","c","","","","","","","2.3","","","","2.30 CHF/100g","1/3/2022"
"Gratin of rigatoni, gorgonzola cream, mushrooms, romanesco tips","Arcadie","a","c","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/3/2022"
"Mozzarella balls with sun-dried tomatoes and capers, caponata, wheat semolina, salad","Arcadie","b+","c","","","","","","","","","12.00","","12.00 CHF","1/3/2022"
"Polenta cake with Gruyère cheese, bacon and seasonal salad","Le Klee by Novae","b","c","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/3/2022"
"Pork cheeks confit with mustard, quinoa and beets","Microcity","a-","c","","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/3/2022"
"Cantonese rice, Quorn, soy and candied ginger","Microcity","a","b","","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/3/2022"
"Penne with garlic and peppers, pesto, spinach shoots and parmesan crumble","Microcity","a-","b","","","7.5","8","9","8.5","","","","","E 7.50 CHFD 8.00 CHFC 8.50 CHFV 9.00 CHF","1/3/2022"
"Buddha Bowl with smoked salmon, mango and vinaigrette","Microcity","a-","b","","","12","12","12","12","","","","","E 12.00 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","1/3/2022"
"Wild Argentine shrimp with Thai red curry, organic basmati rice with lemongrass","Ornithorynque","a","b","","","12","13","15","14","","","","","E 12.00 CHFD 13.00 CHFC 14.00 CHFV 15.00 CHF","1/3/2022"
"Fusilli ""Grano d'oro"", broccoli, tomato sauce, arugula","Ornithorynque","b+","c","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/3/2022"
"Orni'Burger- 100% Swiss beef burger with relishOrigin: Suisse","Ornithorynque","b-","c","","Suisse","9","9.5","11","10","","","","","E 9.00 CHFD 9.50 CHFC 10.00 CHFV 11.00 CHF","1/3/2022"
"Penne with Pesto Rosso
Salad of the day","Alpine","b+","c","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","1/4/2022"
"Gyoza Ravioli
sweet chili sauce
Fried rice with vegetables","Alpine","a","c","","","10.5","11","12.5","11.5","","","","","D 11.00 CHFE 10.50 CHFC 11.50 CHFV 12.50 CHF","1/4/2022"
"Swiss Chicken Wings with Chef's Barbecue Sauce
Country potatoes
carrotsOrigin: Suisse","Alpine","b+","d","","Suisse","12.5","13","14.5","13.5","","","","","E 12.50 CHFD 13.00 CHFC 13.50 CHFV 14.50 CHF","1/4/2022"
"Cappelletti with raw ham, lemon cream and seasonal vegetables","Arcadie","a","c","","","","","","","2.3","","","","2.30 CHF/100g","1/4/2022"
"Gratin of rigatoni, gorgonzola cream, mushrooms, romanesco tips","Arcadie","a","c","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/4/2022"
"Mozzarella balls with sun-dried tomatoes and capers, caponata, wheat semolina, salad","Arcadie","b+","c","","","","","","","","","12.00","","12.00 CHF","1/4/2022"
"Polenta cake with Gruyère cheese, bacon and seasonal salad","Le Klee by Novae","b","c","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/4/2022"
"Cod fritters, steamed potatoes and lemon aioli","Microcity","a-","b","","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/4/2022"
"Lentil dhal, vegetable curry, papadum","Microcity","a-","b","","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","1/4/2022"
"Penne with garlic and peppers, pesto, spinach shoots and parmesan crumble","Microcity","a-","b","","","7.5","8","9","8.5","","","","","E 7.50 CHFD 8.00 CHFC 8.50 CHFV 9.00 CHF","1/4/2022"
"Buddha Bowl with smoked salmon, mango and vinaigrette","Microcity","a-","b","","","12","12","12","12","","","","","E 12.00 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","1/4/2022"
"Vegetarian noodles and samosas, vegetable noodles, soy and mango chutney","Ornithorynque","a","c","","","12","13","15","14","","","","","E 12.00 CHFD 13.00 CHFC 14.00 CHFV 15.00 CHF","1/4/2022"
"Fusilli à la bolognese","Ornithorynque","b","c","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","1/4/2022"
"Orni'Burger- 100% Swiss beef burger with relishOrigin: Suisse","Ornithorynque","b-","c","","Suisse","9","9.5","11","10","","","","","E 9.00 CHFD 9.50 CHFC 10.00 CHFV 11.00 CHF","1/4/2022"
"Palak Paneer
Spinach Massala Sauce
Turmeric rice","Alpine","a-","b","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","1/5/2022"
"Sautéed turkey with chili and Thai basil
Rice with vegetables","Alpine","a-","d","","","10.5","11","12.5","11.5","","","","","D 11.00 CHFE 10.50 CHFC 11.50 CHFV 12.50 CHF","1/5/2022"
"Swiss Veal Steak Pojarski, green pepper sauce
Mashed apple
Basket of vegetablesOrigin: Suisse","Alpine","b+","d","","Suisse","12.5","13","14","13.5","","","","","E 12.50 CHFD 13.00 CHFC 13.50 CHFV 14.00 CHF","1/5/2022"
"Cappelletti with raw ham, lemon cream and seasonal vegetables","Arcadie","a","c","","","","","","","2.3","","","","2.30 CHF/100g","1/5/2022"
